iter	Passed	Remaining
0	138	138505
1	141	70589
2	146	48699
3	149	37291
4	152	30386
5	156	25990
6	160	22724
7	164	20360
8	166	18356
9	168	16700
10	170	15353
11	172	14208
12	175	13311
13	178	12545
14	180	11834
15	182	11214
16	183	10619
17	185	10136
18	187	9699
19	189	9278
20	190	8886
21	192	8554
22	194	8256
23	196	7972
24	197	7687
25	199	7466
26	201	7266
27	203	7048
28	204	6844
29	207	6695
30	208	6529
31	210	6357
32	211	6210
33	214	6096
34	215	5952
35	217	5818
36	219	5705
37	221	5601
38	222	5487
39	223	5374
40	226	5286
41	228	5208
42	229	5110
43	230	5012
44	232	4942
45	235	4878
46	236	4805
47	238	4731
48	241	4685
49	242	4616
50	244	4551
51	247	4506
52	249	4453
53	250	4391
54	252	4340
55	255	4298
56	256	4245
57	258	4192
58	261	4163
59	262	4118
60	264	4070
61	266	4029
62	268	3997
63	270	3953
64	272	3913
65	273	3877
66	276	3844
67	277	3804
68	279	3764
69	281	3741
70	283	3713
71	285	3675
72	286	3644
73	289	3626
74	291	3592
75	292	3558
76	294	3534
77	297	3511
78	298	3480
79	299	3448
80	301	3425
81	304	3403
82	305	3370
83	306	3342
84	308	3323
85	311	3309
86	313	3286
87	315	3270
88	318	3255
89	319	3229
90	321	3210
91	324	3202
92	325	3178
93	327	3156
94	330	3145
95	332	3131
96	334	3109
97	336	3094
98	338	3076
99	340	3064
100	342	3046
101	344	3036
102	346	3019
103	348	3001
104	350	2991
105	353	2978
106	354	2959
107	356	2944
108	359	2935
109	361	2922
110	362	2906
111	365	2901
112	367	2888
113	370	2875
114	373	2876
115	375	2861
116	377	2849
117	380	2846
118	382	2833
119	385	2826
120	388	2820
121	389	2806
122	393	2805
123	395	2794
124	398	2787
125	401	2786
126	403	2772
127	406	2770
128	408	2758
129	410	2748
130	414	2748
131	416	2736
132	418	2725
133	421	2723
134	423	2712
135	426	2709
136	428	2700
137	430	2688
138	433	2685
139	435	2675
140	437	2665
141	440	2659
142	442	2650
143	444	2641
144	447	2637
145	449	2627
146	451	2617
147	454	2616
148	456	2606
149	458	2600
150	462	2597
151	464	2591
152	467	2590
153	469	2579
154	472	2576
155	476	2576
156	478	2570
157	482	2569
158	484	2561
159	487	2561
160	489	2549
161	491	2540
162	494	2541
163	497	2534
164	499	2527
165	502	2523
166	504	2516
167	508	2518
168	511	2513
169	515	2514
170	517	2506
171	519	2500
172	522	2498
173	524	2491
174	528	2492
175	530	2485
176	533	2480
177	537	2479
178	539	2473
179	542	2470
180	545	2466
181	547	2462
182	551	2460
183	554	2459
184	557	2457
185	560	2452
186	563	2448
187	565	2442
188	567	2434
189	570	2433
190	573	2427
191	576	2424
192	578	2418
193	580	2413
194	584	2411
195	586	2404
196	589	2402
197	591	2394
198	593	2388
199	596	2384
200	598	2378
201	601	2375
202	602	2366
203	605	2360
204	608	2357
205	609	2350
206	611	2343
207	614	2340
208	617	2336
209	620	2332
210	623	2331
211	626	2328
212	629	2326
213	631	2320
214	634	2316
215	636	2311
216	640	2309
217	642	2305
218	645	2301
219	648	2299
220	650	2293
221	654	2292
222	656	2288
223	659	2285
224	662	2281
225	665	2279
226	668	2277
227	670	2271
228	674	2270
229	676	2266
230	679	2263
231	682	2259
232	684	2254
233	687	2251
234	689	2245
235	692	2241
236	695	2238
237	697	2232
238	701	2232
239	703	2227
240	706	2225
241	708	2220
242	711	2215
243	714	2212
244	716	2207
245	718	2203
246	722	2201
247	724	2195
248	728	2196
249	730	2192
250	734	2191
251	736	2186
252	739	2182
253	741	2176
254	743	2171
255	745	2165
256	747	2161
257	750	2157
258	752	2153
259	754	2148
260	756	2143
261	759	2138
262	761	2133
263	763	2127
264	765	2123
265	767	2118
266	769	2113
267	772	2109
268	774	2104
269	776	2099
270	778	2095
271	780	2089
272	782	2084
273	785	2080
274	787	2075
275	789	2070
276	791	2065
277	793	2061
278	795	2056
279	797	2051
280	800	2047
281	802	2042
282	804	2037
283	806	2032
284	807	2026
285	809	2021
286	811	2016
287	813	2012
288	815	2007
289	817	2001
290	819	1996
291	821	1992
292	823	1987
293	825	1981
294	827	1977
295	829	1973
296	831	1968
297	833	1962
298	835	1958
299	837	1953
300	838	1948
301	840	1943
302	843	1940
303	845	1935
304	846	1929
305	848	1924
306	850	1920
307	852	1914
308	854	1909
309	856	1906
310	857	1900
311	859	1895
312	861	1889
313	863	1886
314	865	1881
315	867	1877
316	869	1872
317	871	1869
318	873	1863
319	874	1858
320	876	1853
321	878	1849
322	879	1844
323	881	1838
324	882	1833
325	885	1830
326	887	1826
327	888	1821
328	890	1816
329	892	1812
330	894	1807
331	896	1802
332	898	1798
333	900	1795
334	902	1790
335	904	1787
336	906	1783
337	907	1778
338	909	1773
339	911	1769
340	913	1765
341	915	1761
342	916	1755
343	918	1751
344	920	1747
345	921	1742
346	923	1737
347	924	1732
348	926	1728
349	928	1723
350	929	1718
351	930	1713
352	932	1708
353	933	1704
354	935	1699
355	936	1694
356	938	1690
357	940	1686
358	942	1682
359	943	1677
360	944	1672
361	946	1668
362	948	1665
363	950	1661
364	952	1656
365	954	1652
366	956	1649
367	957	1644
368	959	1640
369	960	1635
370	962	1632
371	964	1627
372	965	1623
373	967	1619
374	969	1615
375	971	1611
376	972	1607
377	974	1603
378	976	1600
379	978	1596
380	980	1592
381	982	1588
382	984	1586
383	986	1582
384	988	1579
385	990	1575
386	992	1571
387	994	1567
388	996	1564
389	998	1561
390	1000	1557
391	1001	1553
392	1003	1550
393	1006	1547
394	1008	1544
395	1009	1540
396	1011	1536
397	1013	1532
398	1015	1529
399	1017	1525
400	1019	1522
401	1021	1519
402	1023	1516
403	1025	1512
404	1027	1509
405	1029	1505
406	1030	1501
407	1032	1498
408	1034	1495
409	1036	1492
410	1039	1489
411	1041	1486
412	1043	1482
413	1045	1479
414	1046	1475
415	1049	1472
416	1051	1469
417	1053	1466
418	1055	1463
419	1057	1460
420	1059	1457
421	1062	1454
422	1064	1451
423	1066	1448
424	1069	1447
425	1071	1443
426	1073	1440
427	1076	1438
428	1078	1435
429	1080	1431
430	1082	1428
431	1084	1425
432	1086	1422
433	1088	1419
434	1090	1416
435	1092	1413
436	1094	1410
437	1097	1408
438	1099	1405
439	1101	1401
